,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
6830,Private room,San Francisco,South of Market,16,5.0,3,1.0,93.0,37.777679,-122.415761,0101000020E6100000F27C06D49B9A5EC09BE447FC8AE34240
6831,Private room,San Francisco,Western Addition,246,5.0,2,1.0,90.0,37.777787,-122.437754,0101000020E61000005D6C5A29049C5EC0812040868EE34240
6832,Private room,San Francisco,Castro/Upper Market,1,0.0,2,1.0,85.0,37.766436,-122.42651200000002,0101000020E610000080D6FCF84B9B5EC0103D29931AE24240
6833,Private room,San Francisco,Mission,2,0.0,2,1.0,95.0,37.75395,-122.41504599999999,0101000020E61000007B15191D909A5EC0DC68006F81E04240
6834,Private room,San Francisco,Mission,3,4.5,2,1.0,90.0,37.757959,-122.409793,0101000020E61000004D486B0C3A9A5EC0BC5AEECC04E14240
6835,Private room,San Francisco,Mission,3,4.5,3,1.0,100.0,37.759370000000004,-122.420722,0101000020E61000004BADF71BED9A5EC021C8410933E14240
6836,Private room,San Francisco,Inner Richmond,0,0.0,1,1.0,99.0,37.781701,-122.47646999999999,0101000020E61000009CE1067C7E9E5EC0102043C70EE44240
6837,Private room,San Francisco,Western Addition,4,5.0,2,1.0,95.0,37.772023,-122.43203500000001,0101000020E61000008DEE2076A69B5EC0416150A6D1E24240
6838,Private room,San Francisco,Haight Ashbury,3,5.0,1,1.0,95.0,37.775265999999995,-122.444217,0101000020E6100000F1D4230D6E9C5EC0B2D991EA3BE34240
6839,Private room,San Francisco,Excelsior,3,4.5,2,1.0,89.0,37.725534,-122.402028,0101000020E6100000E204A6D3BA995EC06B11514CDEDC4240
6840,Private room,San Francisco,Outer Mission,2,0.0,2,1.0,95.0,37.713745,-122.44554199999999,0101000020E6100000A5BF97C2839C5EC07E5704FF5BDB4240
6841,Private room,San Francisco,Outer Mission,9,5.0,2,1.0,100.0,37.730403,-122.43331299999998,0101000020E6100000A0FB7266BB9B5EC03DF372D87DDD4240
6842,Private room,San Francisco,Visitacion Valley,87,5.0,4,1.0,100.0,37.71297,-122.40053,0101000020E610000048C49448A2995EC0BA83D89942DB4240
6843,Private room,San Francisco,Outer Mission,3,4.5,2,1.0,95.0,37.732188,-122.44043799999999,0101000020E61000009A7ADD22309C5EC007431D56B8DD4240
6844,Private room,San Francisco,Glen Park,47,4.5,2,1.0,90.0,37.733658,-122.43345500000001,0101000020E610000069520ABABD9B5EC071395E81E8DD4240
6845,Private room,San Francisco,Bayview,26,5.0,4,1.0,99.0,37.716557,-122.389931,0101000020E6100000952C27A1F4985EC0255CC823B8DB4240
6846,Private room,San Francisco,Diamond Heights,16,4.5,2,1.0,95.0,37.745315999999995,-122.440973,0101000020E6100000D15AD1E6389C5EC0C097C28366DF4240
6847,Private room,San Francisco,Noe Valley,1,0.0,2,1.0,99.0,37.742064,-122.43456,0101000020E61000009609BFD4CF9B5EC0FCC401F4FBDE4240
6848,Private room,San Francisco,Bernal Heights,0,0.0,1,1.0,83.0,37.739049,-122.41268600000001,0101000020E610000017618A72699A5EC01D925A2899DE4240
6849,Private room,San Francisco,Mission,18,5.0,2,1.0,99.0,37.749790999999995,-122.40876599999999,0101000020E6100000DF6DDE38299A5EC0E6EAC726F9DF4240
6850,Private room,San Francisco,Western Addition,24,4.5,1,1.0,95.0,37.778363,-122.43988799999998,0101000020E6100000C879FF1F279C5EC04EB51666A1E34240
6851,Private room,San Francisco,Western Addition,2,0.0,1,1.0,82.0,37.77793,-122.43988200000001,0101000020E61000005706D506279C5EC0E449D23593E34240
6852,Private room,San Francisco,Parkside,14,5.0,2,1.0,95.0,37.743654,-122.476421,0101000020E61000002B8881AE7D9E5EC011C5E40D30DF4240
6853,Private room,San Francisco,South of Market,12,5.0,1,1.0,89.0,37.776463,-122.408052,0101000020E610000050C422861D9A5EC0EBC6BB2363E34240
6854,Private room,San Francisco,Potrero Hill,0,0.0,2,1.0,95.0,37.762764000000004,-122.396794,0101000020E6100000F04FA91265995EC077483140A2E14240
6855,Private room,San Francisco,Western Addition,37,4.5,1,1.0,95.0,37.77689,-122.439876,0101000020E6100000E692AAED269C5EC0734BAB2171E34240
6856,Private room,San Francisco,Western Addition,0,0.0,2,1.0,85.0,37.77236,-122.433553,0101000020E61000004B051555BF9B5EC0895E46B1DCE24240
6857,Private room,San Francisco,Downtown/Civic Center,5,4.5,2,0.0,85.0,37.785746,-122.414601,0101000020E6100000E4F8A1D2889A5EC03E7B2E5393E44240
6858,Private room,San Francisco,South of Market,0,0.0,2,1.0,92.0,37.772420000000004,-122.397241,0101000020E610000057E883656C995EC05E6397A8DEE24240
6859,Private room,San Francisco,South of Market,244,5.0,2,1.0,95.0,37.775546000000006,-122.40948,0101000020E61000006E179AEB349A5EC09545611745E34240
6860,Private room,San Francisco,Castro/Upper Market,200,5.0,2,1.0,99.0,37.761609,-122.4324,0101000020E610000096B20C71AC9B5EC06DAB59677CE14240
6861,Private room,San Francisco,Twin Peaks,86,5.0,2,1.0,85.0,37.751396,-122.44413600000001,0101000020E61000007BBE66B96C9C5EC0302C7FBE2DE04240
6862,Private room,San Francisco,Downtown/Civic Center,1,0.0,2,1.0,95.0,37.785005,-122.412733,0101000020E6100000B83EAC376A9A5EC02619390B7BE44240
6863,Private room,San Francisco,Castro/Upper Market,26,4.5,2,1.0,95.0,37.760033,-122.435704,0101000020E610000021AF0793E29B5EC0BD70E7C248E14240
6864,Private room,San Francisco,Haight Ashbury,189,5.0,1,1.0,99.0,37.772721000000004,-122.43973000000001,0101000020E61000007C444C89249C5EC059F78F85E8E24240
6865,Private room,San Francisco,Haight Ashbury,0,0.0,1,1.0,98.0,37.774731,-122.4445,0101000020E61000009CC420B0729C5EC04419AA622AE34240
6866,Private room,San Francisco,Noe Valley,11,5.0,1,1.0,100.0,37.75421,-122.433755,0101000020E61000007FDE54A4C29B5EC078280AF489E04240
6867,Private room,San Francisco,Downtown/Civic Center,2,0.0,2,0.0,90.0,37.785445,-122.415052,0101000020E6100000EC884336909A5EC043E7357689E44240
6868,Private room,San Francisco,Haight Ashbury,28,5.0,2,1.0,89.0,37.770524,-122.43808600000001,0101000020E610000078B5DC99099C5EC03D64CA87A0E24240
6869,Private room,San Francisco,Western Addition,1,0.0,1,1.0,95.0,37.771135,-122.43204399999999,0101000020E6100000B79BE09BA69B5EC086E63A8DB4E24240
6870,Private room,San Francisco,Castro/Upper Market,100,5.0,2,1.0,90.0,37.768522,-122.427872,0101000020E6100000F1B73D41629B5EC0D520CCED5EE24240
6871,Private room,San Francisco,Haight Ashbury,5,5.0,2,1.0,100.0,37.770764,-122.44384299999999,0101000020E6100000BF6378EC679C5EC092770E65A8E24240
6872,Private room,San Francisco,South of Market,16,5.0,2,1.0,99.0,37.773903999999995,-122.41207800000001,0101000020E6100000AB59677C5F9A5EC02E1F49490FE34240
6873,Private room,San Francisco,Western Addition,17,5.0,2,1.0,99.0,37.776924,-122.446126,0101000020E61000004DF910548D9C5EC01FBDE13E72E34240
6874,Private room,San Francisco,Western Addition,0,0.0,2,1.0,95.0,37.782711,-122.434633,0101000020E6100000CB30EE06D19B5EC0179CC1DF2FE44240
6875,Private room,San Francisco,Castro/Upper Market,34,5.0,2,1.0,99.0,37.757422999999996,-122.43741200000001,0101000020E610000030B8E68EFE9B5EC07E1EA33CF3E04240
6876,Private room,San Francisco,Haight Ashbury,4,4.5,4,1.0,99.0,37.770421,-122.45316100000001,0101000020E6100000A6B4FE96009D5EC06893C3279DE24240
6877,Private room,San Francisco,Castro/Upper Market,54,4.5,2,1.0,95.0,37.768347,-122.43372600000001,0101000020E6100000315BB22AC29B5EC0677DCA3159E24240
6878,Private room,San Francisco,Mission,5,4.5,1,1.0,85.0,37.756129,-122.42142700000001,0101000020E6100000B0A9F3A8F89A5EC05247C7D5C8E04240
6879,Private room,San Francisco,Potrero Hill,88,5.0,2,1.0,90.0,37.757261,-122.39371200000001,0101000020E6100000BC02D19332995EC0A4C4AEEDEDE04240
6880,Private room,San Francisco,Outer Sunset,51,5.0,2,2.0,92.0,37.749745000000004,-122.482419,0101000020E610000004FEF0F3DF9E5EC075ABE7A4F7DF4240
6881,Private room,San Francisco,South of Market,10,5.0,2,1.0,99.0,37.780246000000005,-122.40453000000001,0101000020E61000000E10CCD1E3995EC0DB6AD619DFE34240
6882,Private room,San Francisco,Potrero Hill,97,5.0,2,1.0,88.0,37.762097999999995,-122.403499,0101000020E6100000FF3D78EDD2995EC06B2C616D8CE14240
6883,Private room,San Francisco,Presidio Heights,107,5.0,2,1.0,83.0,37.782548999999996,-122.448438,0101000020E610000027124C35B39C5EC03E42CD902AE44240
6884,Private room,San Francisco,Mission,0,0.0,2,1.0,100.0,37.767893,-122.41753999999999,0101000020E61000006631B1F9B89A5EC0E6E95C514AE24240
6885,Private room,San Francisco,Mission,1,0.0,2,1.0,90.0,37.762549,-122.425767,0101000020E6100000D32D3BC43F9B5EC07B4CA4349BE14240
