,Unnamed: 0,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,price,location
135,135,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,90.0,0101000020E61000003EEC8502B6A313407E384888F22B4A40
136,136,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,25,4.5,4,90.0,0101000020E61000003F8F519E79891340E179A9D898294A40
137,137,Entire home/apt,Amsterdam,Bijlmer Centrum,28,4.5,2,96.0,0101000020E6100000292158552FCF13406EF7729F1C294A40
138,138,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,3,5.0,2,102.0,0101000020E6100000AE6708C72CBB134067D47C957C2E4A40
139,139,Entire home/apt,Amsterdam,Bijlmer Oost,1,0.0,4,96.0,0101000020E6100000D3BEB9BF7ADC13406901DA56B3284A40
140,140,Entire home/apt,Amsterdam,Westerpark,0,0.0,2,90.0,0101000020E6100000806264C91C7B134086376BF0BE304A40
141,141,Entire home/apt,Amsterdam,Centrum West,6,5.0,4,90.0,0101000020E61000000FB6D8EDB38A1340BA2EFCE07C304A40
142,142,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,103.0,0101000020E6100000DD26DC2BF3961340433BA759A02D4A40
143,143,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,11,5.0,2,96.0,0101000020E61000007B4ACE893D941340DAE6C6F4842D4A40
144,144,Entire home/apt,Amsterdam,Bos en Lommer,5,4.5,4,84.0,0101000020E61000005FF0694E5E641340800D881057304A40
145,145,Entire home/apt,Amsterdam,Westerpark,29,4.5,2,90.0,0101000020E61000005B99F04BFD7C1340F226BF4527314A40
146,146,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,95.0,0101000020E61000000FD253E410711340F9BEB854A52F4A40
147,147,Entire home/apt,Amsterdam,Centrum Oost,4,5.0,2,98.0,0101000020E610000086376BF0BE9A1340AF95D05D122F4A40
148,148,Entire home/apt,Amsterdam,Noord Oost,57,5.0,3,96.0,0101000020E6100000FD14C781571B14400A664CC11A354A40
149,149,Entire home/apt,Amsterdam,Westerpark,7,4.5,2,91.0,0101000020E6100000E4D70FB1C1821340724EECA17D324A40
150,150,Entire home/apt,Amsterdam,Westerpark,4,5.0,4,72.0,0101000020E61000006B9DB81CAF8013409E094D124B324A40
151,151,Entire home/apt,Amsterdam,Centrum West,2,0.0,2,75.0,0101000020E610000039B874CC798613408C0FB3976D2F4A40
152,152,Entire home/apt,Amsterdam,Watergraafsmeer,7,4.5,3,71.0,0101000020E610000015E0BBCD1BC713401A170E84642B4A40
153,153,Entire home/apt,Amsterdam,Oud Oost,1,0.0,4,71.0,0101000020E61000001DE4F56052AC1340DB6CACC43C2D4A40
154,154,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,78.0,0101000020E6100000A14D0E9F74C213409FE74F1BD5314A40
155,155,Entire home/apt,Amsterdam,Slotervaart,0,0.0,2,78.0,0101000020E61000006C96CB46E75C1340D8EF8975AA2E4A40
156,156,Entire home/apt,Amsterdam,Osdorp,4,4.5,2,72.0,0101000020E6100000A3ACDF4C4C271340CB2DAD86C42D4A40
157,157,Entire home/apt,Amsterdam,Bijlmer Oost,33,5.0,4,73.0,0101000020E610000047938B31B0EE1340073F7100FD284A40
158,158,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,1,0.0,2,78.0,0101000020E61000006825ADF886C21340FE4465C39A2E4A40
159,159,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,3,5.0,2,66.0,0101000020E610000016DEE522BE63134063D520CCED2C4A40
160,160,Entire home/apt,Amsterdam,Osdorp,19,5.0,2,68.0,0101000020E61000003F73D6A71C33134072C284D1AC2E4A40
161,161,Entire home/apt,Amsterdam,Bos en Lommer,278,5.0,2,66.0,0101000020E6100000A226FA7C94611340629D2ADF33304A40
162,162,Entire home/apt,Amsterdam,De Baarsjes / Oud West,4,5.0,4,73.0,0101000020E61000007500C45DBD7A13403BC269C18B2E4A40
163,163,Entire home/apt,Amsterdam,De Baarsjes / Oud West,48,5.0,2,67.0,0101000020E6100000D9EDB3CA4C791340BBD408FD4C2F4A40
164,164,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,1,0.0,2,75.0,0101000020E610000087DBA161318A134079B130444E2D4A40
