,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
143,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,11,5.0,2,1.0,96.0,52.35562,4.894766000000001,0101000020E61000007B4ACE893D941340DAE6C6F4842D4A40
144,Entire home/apt,Amsterdam,Bos en Lommer,5,4.5,4,0.0,84.0,52.377657,4.848016,0101000020E61000005FF0694E5E641340800D881057304A40
145,Entire home/apt,Amsterdam,Westerpark,29,4.5,2,1.0,90.0,52.384011,4.87206,0101000020E61000005B99F04BFD7C1340F226BF4527314A40
146,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,1.0,95.0,52.372233,4.860416000000001,0101000020E61000000FD253E410711340F9BEB854A52F4A40
147,Entire home/apt,Amsterdam,Centrum Oost,4,5.0,2,1.0,98.0,52.367748,4.9011190000000004,0101000020E610000086376BF0BE9A1340AF95D05D122F4A40
148,Entire home/apt,Amsterdam,Noord Oost,57,5.0,3,1.0,96.0,52.414879,5.026701,0101000020E6100000FD14C781571B14400A664CC11A354A40
149,Entire home/apt,Amsterdam,Westerpark,7,4.5,2,1.0,91.0,52.394459000000005,4.877692,0101000020E6100000E4D70FB1C1821340724EECA17D324A40
150,Entire home/apt,Amsterdam,Westerpark,4,5.0,4,2.0,72.0,52.392916,4.875668,0101000020E61000006B9DB81CAF8013409E094D124B324A40
151,Entire home/apt,Amsterdam,Centrum West,2,0.0,2,0.0,75.0,52.370532,4.881324,0101000020E610000039B874CC798613408C0FB3976D2F4A40
152,Entire home/apt,Amsterdam,Watergraafsmeer,7,4.5,3,1.0,71.0,52.339005,4.944442,0101000020E610000015E0BBCD1BC713401A170E84642B4A40
153,Entire home/apt,Amsterdam,Oud Oost,1,0.0,4,2.0,71.0,52.353417,4.918283,0101000020E61000001DE4F56052AC1340DB6CACC43C2D4A40
154,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,1.0,78.0,52.389316,4.939898,0101000020E6100000A14D0E9F74C213409FE74F1BD5314A40
155,Entire home/apt,Amsterdam,Slotervaart,0,0.0,2,1.0,78.0,52.364577000000004,4.840726,0101000020E61000006C96CB46E75C1340D8EF8975AA2E4A40
156,Entire home/apt,Amsterdam,Osdorp,4,4.5,2,1.0,72.0,52.35756,4.788377,0101000020E6100000A3ACDF4C4C271340CB2DAD86C42D4A40
157,Entire home/apt,Amsterdam,Bijlmer Oost,33,5.0,4,1.0,73.0,52.320221000000004,4.983094,0101000020E610000047938B31B0EE1340073F7100FD284A40
158,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,1,0.0,2,0.0,78.0,52.364098,4.939968,0101000020E61000006825ADF886C21340FE4465C39A2E4A40
159,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,3,5.0,2,1.0,66.0,52.351007,4.847405,0101000020E610000016DEE522BE63134063D520CCED2C4A40
160,Entire home/apt,Amsterdam,Osdorp,19,5.0,2,1.0,68.0,52.364649,4.799914,0101000020E61000003F73D6A71C33134072C284D1AC2E4A40
161,Entire home/apt,Amsterdam,Bos en Lommer,278,5.0,2,0.0,66.0,52.376583000000004,4.845293,0101000020E6100000A226FA7C94611340629D2ADF33304A40
162,Entire home/apt,Amsterdam,De Baarsjes / Oud West,4,5.0,4,2.0,73.0,52.363640000000004,4.869863,0101000020E61000007500C45DBD7A13403BC269C18B2E4A40
163,Entire home/apt,Amsterdam,De Baarsjes / Oud West,48,5.0,2,1.0,67.0,52.369537,4.868457,0101000020E6100000D9EDB3CA4C791340BBD408FD4C2F4A40
